"Country/Region Province.State","Latitude","Longtitude","Sum.of.all.patients","Mean.number.of.patients","Standard.deviation.of.mean"
"Egypt ",26.820553,30.802498,334600873,292739,188698
"El Salvador ",13.7942,-88.8965,113567058,99358,71200
"Equatorial Guinea ",1.6508,10.2679,11448174,10015,6037
"Eritrea ",15.1794,39.7823,6235402,5455,4128
"Estonia ",58.5953,25.0136,291006254,254598,250336
"Eswatini ",-26.5225,31.4659,42980649,37603,30312
"Ethiopia ",9.145,40.4897,321253355,281061,190727
"Fiji ",-17.7134,178.065,36794437,32191,31112
"Finland ",61.92411,25.748151,529055121,462865,553225
"France French Guiana",3.9339,-53.1258,50323143,44027,36515
"France French Polynesia",-17.6797,149.4068,42524612,37204,30426
"France Guadeloupe",16.265,-61.551,83236250,72822,78402
"France Martinique",14.6415,-61.0242,87938420,76936,89564
"France Mayotte",-12.8275,45.166244,24311005,21269,15356
"France New Caledonia",-20.904305,165.618042,29091897,25452,32524
"France Reunion",-21.1151,55.5364,189044287,165393,199391
"France Saint Barthelemy",17.9,-62.8333,2475216,2165,2124
"France Saint Pierre and Miquelon",46.8852,-56.3159,1161230,1015,1395
"France St Martin",18.0708,-63.0501,5791443,5066,4868
"France Wallis and Futuna",-14.2938,-178.1165,788871,690,1076
"France ",46.2276,2.2137,15589225512,13638867,14219235
"Gabon ",-0.8037,11.6094,31568025,27618,18551
"Gambia ",13.4432,-15.3101,8425604,7371,4686
"Georgia ",42.3154,43.3569,898731351,786291,727608
"Germany ",51.165691,10.451526,13686043720,11973791,13955825
"Ghana ",7.9465,-1.0232,117781853,103046,60270
"Greece ",39.0742,21.8243,1964682966,1718882,2037360
"Grenada ",12.1165,-61.679,8143276,7124,8296
"Guatemala ",15.7835,-90.2308,578700431,506299,429429
"Guinea ",9.9456,-9.6966,27081703,23693,13434
"Guinea-Bissau ",11.8037,-15.1804,5789358,5065,3065
"Guyana ",4.860416,-58.93018,37410507,32730,29021
"Haiti ",18.9712,-72.2852,22170826,19397,11843
"Holy See ",41.9029,12.4534,26807,23,8
"Honduras ",15.2,-86.2419,302670683,264803,172163
"Hungary ",47.1625,19.5033,1142912051,999923,828174
"Iceland ",64.9631,-19.0208,82359288,72055,89444
"India ",20.593684,78.96288,29131119694,25486543,17596404
"Indonesia ",-0.7893,113.9213,3692406698,3230452,2603755
"Iran ",32.427908,53.688046,4612422449,4035365,3040867
